Ref,Val,Package,PosX,PosY,Rot,Side
"R22","100","R_0402_1005Metric",93.380000,-124.360000,90.000000,top
"R23","100","R_0402_1005Metric",94.520000,-124.360000,-90.000000,top
"R24","5.6k","R_0402_1005Metric",94.070000,-135.710000,0.000000,top
"R25","10k","R_0402_1005Metric",98.640000,-140.750000,90.000000,top
"T1","net-tie","NetTie-0.25mm",90.825000,-77.850000,0.000000,top
"U2","TPS546D24ARVFR","LQFN40-CLIP",93.580000,-77.590000,90.000000,top
"U3","RT9080-33GJ5","RT9080-33GJ5",112.563000,-63.380000,0.000000,top
"U5","MCP1824T-1202E/OT","SOT-23-5",110.981000,-130.229000,0.000000,top
"U6","MCP1824T-0802E","SOT-23-5",102.530000,-130.470000,0.000000,top
"U7","25MHz","SMD3225-4P",114.730000,-125.220000,90.000000,top
"U9","SN74AVC4T774","TSSOP-16_4.4x5mm_P0.65mm",118.290000,-100.130000,0.000000,top
"U10","EMC2101","TSSOP-8_3x3mm_P0.65mm",93.895000,-129.990000,-90.000000,top
